source,target,value
BIOL 112,BIOL 341,1.0
BIOL 112,BIOL 451,1.0
BIOL 112,BIOL 343,1.0
BIOL 112,BIOL 455,1.0
BIOL 112,BIOL 360,1.0
BIOL JUNIOR,BIOL 410,1.0
CHEM 221,BIOL 466,1.0
CHEM 221,BIOL 341,1.0
CHEM 221,BIOL 343,1.0
BIOL 341,BIOL 464,1.0
BIOL 341,BIOL 466,1.0
BIOL 341,BIOL 462,1.0
BIOL 341,BIOL 461,1.0
BIOL 341,BIOL 467,1.0
BIOL 341,BIOL 242,1.0
BIOL 341,BIOL 345,1.0
BIOL 341,BIOL 347,1.0
BIOL 341,BIOL 343,1.0
BIOL 341,BIOL 465,1.0
BIOL 345,BIOL 467,1.0
BIOL 348,BIOL 474,1.0
BIOL 471,BIOL 472,1.0
BIOL 111,BIOL 352,1.0
BIOL 111,BIOL 410,1.0
BIOL 111,BIOL 451,1.0
BIOL 111,BIOL 471,1.0
BIOL 111,BIOL 360,1.0
BIOL 111,BIOL 473,1.0
BIOL 111,BIOL 362,1.0
BIOL 111,BIOL 350,1.0
BIOL 111,BIOL 348,1.0
BIOL 111,BIOL 455,1.0
SENIOR STANDING,BIOL 410,1.0
BIOL 226,BIOL 352,1.0
BIOL 226,BIOL 471,1.0
BIOL 226,BIOL 451,1.0
BIOL 226,BIOL 360,1.0
BIOL 226,BIOL 473,1.0
BIOL 226,BIOL 362,1.0
BIOL 226,BIOL 350,1.0
BIOL 226,BIOL 455,1.0
PSYC 353,BIOL 467,1.0
